target_screen_name,target_party,target,source,source_party,label,weight
Alice_Weidel,AfD,18,499,AfD,Thomas Ehrhorn,10
Alice_Weidel,AfD,18,507,AfD,Tino Chrupalla,50
Alice_Weidel,AfD,18,518,AfD,Udo Hemmelgarn,94
Alice_Weidel,AfD,18,531,AfD,Ulrike Schielke-Ziesing,2
Alice_Weidel,AfD,18,534,AfD,Uwe Schulz,1
Alice_Weidel,AfD,18,6,AfD,AfD,24
Alice_Weidel,AfD,18,7,AfD,AfD Bundestag,31
AloisRainer,CSU,19,26,CSU,Andreas Scheuer,1
AloisRainer,CSU,19,388,CDU,Nina Warken,1
AloisRainer,CSU,19,517,CDU,Tankred Schipanski,1
Amira_M_Ali,The Left,21,107,The Left,Die Linke,91
Amira_M_Ali,The Left,21,109,The Left,Diether Dehm,1
Amira_M_Ali,The Left,21,11,The Left,Gökay Akbulut,1
Amira_M_Ali,The Left,21,137,The Left,Klaus Ernst,1
Amira_M_Ali,The Left,21,143,The Left,Fabio De Masi,1
Amira_M_Ali,The Left,21,168,The Left,Friedrich Straetmanns,22
Amira_M_Ali,The Left,21,200,The Left,Heike Hänsel,2
Amira_M_Ali,The Left,21,22,The Left,Andreas Wagner (politician),25
Amira_M_Ali,The Left,21,223,The Left,Jan Korte,1
Amira_M_Ali,The Left,21,251,The Left,Jutta Krellmann,6
Amira_M_Ali,The Left,21,266,The Left,Katja Kipping,2
Amira_M_Ali,The Left,21,270,The Left,Katrin Werner,8
Amira_M_Ali,The Left,21,279,The Left,Kirsten Tackmann,1
Amira_M_Ali,The Left,21,28,The Left,Andrej Hunko,2
Amira_M_Ali,The Left,21,294,The Left,Lorenz Gösta Beutin,4
Amira_M_Ali,The Left,21,297,The Left,Sören Pellmann,5
Amira_M_Ali,The Left,21,298,The Left,Die Linke Bundestag,146
Amira_M_Ali,The Left,21,300,The Left,Gesine Lötzsch,1
Amira_M_Ali,The Left,21,32,The Left,Anke Domscheit-Berg,1
Amira_M_Ali,The Left,21,375,The Left,Matthias W. Birkwald,2
Amira_M_Ali,The Left,21,402,The Left,Pascal Meiser,1
Amira_M_Ali,The Left,21,416,The Left,Petra Sitte,4
Amira_M_Ali,The Left,21,417,The Left,Petra Pau,3
Amira_M_Ali,The Left,21,47,The Left,Stefan Liebich,2
Amira_M_Ali,The Left,21,484,The Left,Susanne Ferschl,2
Amira_M_Ali,The Left,21,490,The Left,Sylvia Gabelmann,1
Amira_M_Ali,The Left,21,5,The Left,Achim Kessler,3
Amira_M_Ali,The Left,21,537,The Left,Victor Perli,2
Amira_M_Ali,The Left,21,555,The Left,Zaklin Nastic,5
Andi_Wagner,The Left,22,109,The Left,Diether Dehm,1
Andi_Wagner,The Left,22,15,The Left,Alexander Neu,1
Andi_Wagner,The Left,22,168,The Left,Friedrich Straetmanns,2
Andi_Wagner,The Left,22,22,The Left,Andreas Wagner (politician),13
Andi_Wagner,The Left,22,234,The Left,Jörg Cezanne,3
Andi_Wagner,The Left,22,298,The Left,Die Linke Bundestag,45
Andi_Wagner,The Left,22,375,The Left,Matthias W. Birkwald,1
Andi_Wagner,The Left,22,402,The Left,Pascal Meiser,2
Andi_Wagner,The Left,22,455,The Left,Sevim Dağdelen,1
Andi_Wagner,The Left,22,484,The Left,Susanne Ferschl,1
Andi_Wagner,The Left,22,537,The Left,Victor Perli,1
Andi_Wagner,The Left,22,539,The Left,Kathrin Vogler,3
Andreas_Rimkus,SPD,24,24,SPD,Andreas Rimkus,4
Andreas_Rimkus,SPD,24,304,SPD,Marianne Schieder,2
Andreas_Rimkus,SPD,24,373,SPD,Detlef Müller,1
Andreas_Rimkus,SPD,24,463,SPD,SPD Bundestag,8
Andreas_Rimkus,SPD,24,464,SPD,SPD,2
Andreas_Rimkus,SPD,24,52,SPD,Bettina Müller,2
Andreas_Rimkus,SPD,24,96,SPD,Dagmar Freitag,1
AndreasSteier,CDU,27,281,CDU,Katja Leikert,1
AndreasSteier,CDU,27,398,FDP,Oliver Luksic,1
AndreasSteier,CDU,27,426,CDU,Ralph Brinkhaus,1
AndreasSteier,CDU,27,517,CDU,Tankred Schipanski,1
AndreasSteier,CDU,27,77,CDU,CDU CSU Bundestag,9
AndrejHunko,The Left,28,109,The Left,Diether Dehm,3
AndrejHunko,The Left,28,200,The Left,Heike Hänsel,6
AndrejHunko,The Left,28,22,The Left,Andreas Wagner (politician),8
AndrejHunko,The Left,28,28,The Left,Andrej Hunko,26
AndrejHunko,The Left,28,298,The Left,Die Linke Bundestag,78
AndrejHunko,The Left,28,455,The Left,Sevim Dağdelen,1
AndrejHunko,The Left,28,537,The Left,Victor Perli,1
AndrejHunko,The Left,28,539,The Left,Kathrin Vogler,2
AndrejHunko,The Left,28,555,The Left,Zaklin Nastic,5
AndrejHunko,The Left,28,90,The Left,Cornelia Möhring,1
AnjaKarliczek,CDU,30,30,CDU,Anja Karliczek,1
anjaweisgerber,CSU,31,119,CSU,Dorothee Bär,4
anjaweisgerber,CSU,31,26,CSU,Andreas Scheuer,1
anjaweisgerber,CSU,31,27,CDU,Andreas Steier,1
anjaweisgerber,CSU,31,281,CDU,Katja Leikert,1
anjaweisgerber,CSU,31,388,CDU,Nina Warken,2
anjaweisgerber,CSU,31,426,CDU,Ralph Brinkhaus,2
anjaweisgerber,CSU,31,428,FDP,Hagen Reinhold,1
anjaweisgerber,CSU,31,472,CDU,Stefan Rouenhoff,1
anjaweisgerber,CSU,31,498,CDU,Thomas Bareiß,1
anjaweisgerber,CSU,31,77,CDU,CDU CSU Bundestag,39
anjaweisgerber,CSU,31,86,CDU,Christoph Ploß,1
anked,The Left,32,107,The Left,Die Linke,1
anked,The Left,32,117,The Left,Doris Achelwilm,5
anked,The Left,32,266,The Left,Katja Kipping,1
anked,The Left,32,294,The Left,Lorenz Gösta Beutin,5
anked,The Left,32,298,The Left,Die Linke Bundestag,35
anked,The Left,32,32,The Left,Anke Domscheit-Berg,1
